Index,Description,Price,Rating,Review Count,Product URL,Image URL,features
B1,plastic rosybrown silver HomeTown Bolton Engineered Wood Hydraulic Storage King Size Bed in Wenge Colour,"30,548",3.2 out of 5 stars,128,https://www.amazon.in//gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_next_aps_sr_pg2_1?ie=UTF8&adId=A00293862V4KZYCNDUZWI&url=%2FHomeTown-Bolton-Hydraulic-Storage-Wenge%2Fdp%2FB0767F8KX3%2Fref%3Dsr_1_49_sspa%3Fkeywords%3DBeds%26qid%3D1654401874%26sr%3D8-49-spons%26psc%3D1&qualifier=1654401874&id=3853149260157902&widgetName=sp_atf_next,https://m.media-amazon.com/images/I/51kr-w03CzL._AC_UL960_FMwebp_QL65_.jpg,plastic rosybrown silver
B2,"plastic dimgray dimgray Amazon Brand - Solimo Costa Engineered Wood Queen Bed with Storage ( Brown , Wenge)","16,779",3.7 out of 5 stars,239,https://www.amazon.in//gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_next_aps_sr_pg2_1?ie=UTF8&adId=A08137741F2535RUHQQ6D&url=%2FAmazon-Brand-Solimo-Engineered-Storage%2Fdp%2FB07RJFQ1JZ%2Fref%3Dsr_1_50_sspa%3Fkeywords%3DBeds%26qid%3D1654401874%26smid%3DAXOGFIT0PZZ7G%26sr%3D8-50-spons%26psc%3D1&qualifier=1654401874&id=3853149260157902&widgetName=sp_atf_next,https://m.media-amazon.com/images/I/81pmaUpZAlL._AC_UL960_FMwebp_QL65_.jpg,plastic dimgray dimgray
B3,wood dimgray black HomeTown Alex Engineered Wood Box Storage Queen Size Bed in Dark Walnut Colour,"16,149",3.4 out of 5 stars,93,https://www.amazon.in//gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_next_aps_sr_pg2_1?ie=UTF8&adId=A078043118YBFJKBISWED&url=%2FHomeTown-Storage-Textured-Finish-Walnut%2Fdp%2FB078T3ZBJS%2Fref%3Dsr_1_51_sspa%3Fkeywords%3DBeds%26qid%3D1654401874%26sr%3D8-51-spons%26psc%3D1&qualifier=1654401874&id=3853149260157902&widgetName=sp_atf_next,https://m.media-amazon.com/images/I/41Lze07e5JL._AC_UL960_FMwebp_QL65_.jpg,wood dimgray black
B4,wood dimgray gray HomeTown Swirl Engineered Wood King Size Bed in Wenge Colour,"16,900",3.9 out of 5 stars,61,https://www.amazon.in//gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_next_aps_sr_pg2_1?ie=UTF8&adId=A00204581A6UULNPLWOZM&url=%2FHomeTown-Swirl-Engineered-Wenge-Colour%2Fdp%2FB07J4RCGVD%2Fref%3Dsr_1_52_sspa%3Fkeywords%3DBeds%26qid%3D1654401874%26sr%3D8-52-spons%26psc%3D1&qualifier=1654401874&id=3853149260157902&widgetName=sp_atf_next,https://m.media-amazon.com/images/I/61H7xSoyAoL._AC_UL960_FMwebp_QL65_.jpg,wood dimgray gray
B5,"plastic silver linen Amazon Brand - Solimo Costa Engineered Wood Queen Bed with Storage ( Brown , Wenge)","16,779",3.7 out of 5 stars,239,https://www.amazon.in//Amazon-Brand-Solimo-Engineered-Storage/dp/B07RJFQ1JZ/ref=sr_1_53?keywords=Beds&qid=1654401874&smid=AXOGFIT0PZZ7G&sr=8-53,https://m.media-amazon.com/images/I/81pmaUpZAlL._AC_UL960_FMwebp_QL65_.jpg,plastic silver linen
B6,plastic darkgray darkgray Ganpati Arts Solid Sheesham Wood Mayor King Size Bed with Box and Headboard Storage for Bedroom Furniture Solid Wood Palang Double Bed Wooden Living Room Furniture (Walnut Finish),"36,499",4.8 out of 5 stars,3,https://www.amazon.in//Ganpati-Sheesham-Storage-Bedroom-Furniture/dp/B093ZX4R8X/ref=sr_1_54?keywords=Beds&qid=1654401874&sr=8-54,https://m.media-amazon.com/images/I/71KwhCRz-7L._AC_UL960_FMwebp_QL65_.jpg,plastic darkgray darkgray
B7,wood darkslategray black Spacewood Single Size Engineered Wood Bed with Box Storage (Particle Board - Walnut Rigato),"8,790",3.8 out of 5 stars,81,https://www.amazon.in//Spacewood-Single-Size-Walnut-Rigato/dp/B015INI2LW/ref=sr_1_55?keywords=Beds&qid=1654401874&sr=8-55,https://m.media-amazon.com/images/I/71SaYnvqVSL._AC_UL960_FMwebp_QL65_.jpg,wood darkslategray black
B8,wood gray rosybrown Homdec Auriga Metal Double Bed - DIY(Do-It-Yourself),"8,499",4.1 out of 5 stars,2,https://www.amazon.in//Homdec-Auriga-Metal-Double-Bed/dp/B08RWRG7X2/ref=sr_1_56?keywords=Beds&qid=1654401874&sr=8-56,https://m.media-amazon.com/images/I/81iqkGMQjfL._AC_UL960_FMwebp_QL65_.jpg,wood gray rosybrown
B9,"plastic lightslategray lightgray Gokich Stainless Steel Folding Bed Khatla Single Person Sleeping for Home, Terrace, Metal Bed Without Storage khatli",899,,,https://www.amazon.in//Gokich-Stainless-Folding-Bed-Sleeping/dp/B09PYVKJHJ/ref=sr_1_57?keywords=Beds&qid=1654401874&sr=8-57,https://m.media-amazon.com/images/I/41+3mGjMxhL._AC_UL960_FMwebp_QL65_.jpg,plastic lightslategray lightgray
B10,wood darkslategray black Shyam Handicrafts Solid Sheesham Wood King Size Bed Without Storage Bed for Bedroom Solid Wooden Furniture Beds for Home Living Room (Walnut Finish),"31,999",,Save ₹950,https://www.amazon.in//Shyam-Handicrafts-Sheesham-Without-Furniture/dp/B0B1ZRRLKN/ref=sr_1_58?keywords=Beds&qid=1654401874&sr=8-58,https://m.media-amazon.com/images/I/51cYhYUHVxL._AC_UL960_FMwebp_QL65_.jpg,wood darkslategray black
