Index,Description,Price,Rating,Review Count,Product URL,Image URL
C1,"Ikea Brimnes Particle Board ABS Plastic Wardrobe with 3 Doors, 117x190 cm, White","28,150",5.0 out of 5 stars,3,https://www.amazon.in//gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_next_aps_sr_pg2_1?ie=UTF8&adId=A09929711SDCKIUF4JHN&url=%2FIkea-Brimnes-Wardrobe-Doors-117x190%2Fdp%2FB07RZBJPR4%2Fref%3Dsr_1_49_sspa%3Fkeywords%3Dwardrobe%26qid%3D1654403840%26sr%3D8-49-spons%26psc%3D1%26smid%3DA3OFR7V7XBOGJU&qualifier=1654403840&id=442703997766940&widgetName=sp_atf_next,https://m.media-amazon.com/images/I/51d6UlV4ynL._AC_UL960_FMwebp_QL65_.jpg
C2,"@home by Nilkamal Avery 2 Door Engineered Wood Wardrobe With Mirrors, 1 Hanging space, Drawers & Shelves (Wenge)","22,873",3.2 out of 5 stars,14,https://www.amazon.in//gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_next_aps_sr_pg2_1?ie=UTF8&adId=A05116461RYH45PLQCFIY&url=%2Fhome-Nilkamal-Avery-Wardrobe-Mirror%2Fdp%2FB07RZ6FD61%2Fref%3Dsr_1_50_sspa%3Fkeywords%3Dwardrobe%26qid%3D1654403840%26sr%3D8-50-spons%26psc%3D1&qualifier=1654403840&id=442703997766940&widgetName=sp_atf_next,https://m.media-amazon.com/images/I/71bXspyztLL._AC_UL960_FMwebp_QL65_.jpg
C3,@home by Nilkamal Edward 3 Door Engineered Wood Wardrobe with 1 Hanging Space Drawers & Shelves (Walnut),"15,748",3.2 out of 5 stars,145,https://www.amazon.in//gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_next_aps_sr_pg2_1?ie=UTF8&adId=A051124637ZVE1NKISTN0&url=%2Fhome-Nilkamal-Edward-Wardrobe-Melamine%2Fdp%2FB07DZ2W5TH%2Fref%3Dsr_1_51_sspa%3Fkeywords%3Dwardrobe%26qid%3D1654403840%26sr%3D8-51-spons%26psc%3D1&qualifier=1654403840&id=442703997766940&widgetName=sp_atf_next,https://m.media-amazon.com/images/I/71YJfbjxJxL._AC_UL960_FMwebp_QL65_.jpg
C4,"Amazon Brand - Solimo Medusa Engineered Wood Wardrobe walnut finish ,3 Doors","12,299",3.5 out of 5 stars,273,https://www.amazon.in//gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_next_aps_sr_pg2_1?ie=UTF8&adId=A06693922AUDRWF17IL29&url=%2FAmazon-Brand-Solimo-Engineered-Wardrobe%2Fdp%2FB08698TT28%2Fref%3Dsr_1_52_sspa%3Fkeywords%3Dwardrobe%26qid%3D1654403840%26smid%3DAXOGFIT0PZZ7G%26sr%3D8-52-spons%26psc%3D1&qualifier=1654403840&id=442703997766940&widgetName=sp_atf_next,https://m.media-amazon.com/images/I/813bIeFxnQL._AC_UL960_FMwebp_QL65_.jpg
C5,Caspian Furniture White 2 Door Wardrobe with 1 Drawer and 5 Shelves | Wardrobe for Bedroom | Wardrobe for Clothes | 2 Door Cupboard | Almirah | 2 Door Engineered Wooden Almirah | Home Kitchen Storage,"9,200",2.7 out of 5 stars,7,https://www.amazon.in//Caspian-Furniture-Wardrobe-Cupboard-Engineered/dp/B091GWPMC8/ref=sr_1_53?keywords=wardrobe&qid=1654403840&sr=8-53,https://m.media-amazon.com/images/I/61Ta9x++mbL._AC_UL960_FMwebp_QL65_.jpg
C6,"SAVERSCHOICE Engineered Wood Wardrobe with Mirror Brown ,3 Doors","13,500",3.9 out of 5 stars,20,https://www.amazon.in//Savers-Choice-Door-Wardrobe-Mirror/dp/B0791CVX37/ref=sr_1_54?keywords=wardrobe&qid=1654403840&sr=8-54,https://m.media-amazon.com/images/I/41SfwU7YILL._AC_UL960_FMwebp_QL65_.jpg
C7,SAVERSCHOICE Brick Textured Engineered Wood Single Door Wardrobe with Mirror (Brown),"6,500",3.7 out of 5 stars,27,https://www.amazon.in//Savers-Choice-Textured-Single-Wardrobe/dp/B079GSWHFR/ref=sr_1_55?keywords=wardrobe&qid=1654403840&sr=8-55,https://m.media-amazon.com/images/I/61g8zCSRsDL._AC_UL960_FMwebp_QL65_.jpg
C8,Double Door Wardrobe with Mirror and Drawers in Beige Color,"10,500",4.1 out of 5 stars,2,https://www.amazon.in//Double-Wardrobe-Mirror-Drawers-Beige/dp/B06XVH47DQ/ref=sr_1_56?keywords=wardrobe&qid=1654403840&sr=8-56,https://m.media-amazon.com/images/I/81Qryj-F2hL._AC_UL960_FMwebp_QL65_.jpg
C9,Pepperfry Wardrobe | Mintwud | Ren | Color: Wenge Finish | Doors: 6 | Bedroom Furniture | Wooden Wardrobe |,"26,377",3.7 out of 5 stars,8,https://www.amazon.in//Mintwud-Pepperfry-Subaru-Bedside-Bronze/dp/B08YKC7B7C/ref=sr_1_57?keywords=wardrobe&qid=1654403840&sr=8-57,https://m.media-amazon.com/images/I/71Thwcb6iUL._AC_UL960_FMwebp_QL65_.jpg
C10,Caspian Furniture Engineered Wood Walnut Sliding Door Wardrobe for Bedroom with Full Mirror | Wardrobe with Led Lights and Sliding | Designer Sliding Cupboard,"28,000",,N/A,https://www.amazon.in//Furniture-Engineered-Wardrobe-Designer-Cupboard/dp/B0B2LV31C3/ref=sr_1_58?keywords=wardrobe&qid=1654403840&sr=8-58,https://m.media-amazon.com/images/I/41dLHZCdILL._AC_UL960_FMwebp_QL65_.jpg
C11,2 Door Wardrobe Walnut Finish,"8,900",4.0 out of 5 stars,1,https://www.amazon.in//2-Door-Wardrobe-Walnut-Finish/dp/B07PP1Y2GZ/ref=sr_1_59?keywords=wardrobe&qid=1654403840&sr=8-59,https://m.media-amazon.com/images/I/312BBe9PnsL._AC_UL960_FMwebp_QL65_.jpg
C12,ILLFORDD FURNITURE Single Door Wardrobe (White),"7,000",5.0 out of 5 stars,3,https://www.amazon.in//ILLFORDD-FURNITURE-Single-Door-Wardrobe/dp/B09GPXV24Q/ref=sr_1_60?keywords=wardrobe&qid=1654403840&sr=8-60,https://m.media-amazon.com/images/I/31RniLCDV9L._AC_UL960_FMwebp_QL65_.jpg
C13,"hudson mark Engineered Wood Wardrobe With Mirror Dark walnut / brown , 1 Door","7,000",3.5 out of 5 stars,10,https://www.amazon.in//Hudson-Single-Wardrobe-Mirror-Drawer/dp/B01MY2ERNY/ref=sr_1_61?keywords=wardrobe&qid=1654403840&sr=8-61,https://m.media-amazon.com/images/I/41KXL36s1QL._AC_UL960_FMwebp_QL65_.jpg
C14,"Generic Hudson Mark Multipurpose Storage Wooden Almirah Cabinet Wardrobe With Mirror, Drawers & Double Doors","10,000",4.2 out of 5 stars,47,https://www.amazon.in//Generic-Multipurpose-Storage-Almirah-Wardrobe/dp/B0727P9N7W/ref=sr_1_62?keywords=wardrobe&qid=1654403840&sr=8-62,https://m.media-amazon.com/images/I/71Ysp3HTLcL._AC_UL960_FMwebp_QL65_.jpg
C15,Hekami interiors 4 Door Wardrobe (White + Natural Walnut),"27,999",3.5 out of 5 stars,51,https://www.amazon.in//Hekami-interiors-Wardrobe-Natural-Walnut/dp/B081W7BG7W/ref=sr_1_63?keywords=wardrobe&qid=1654403840&sr=8-63,https://m.media-amazon.com/images/I/51uQMsR-JrL._AC_UL960_FMwebp_QL65_.jpg
C16,Homiez Decor 2 Door Wardrobe in Wenge Finish,"8,499",4.0 out of 5 stars,1,https://www.amazon.in//Homiez-Decor-Engineered-Wardrobe-Finish/dp/B07PYZQHHM/ref=sr_1_64?keywords=wardrobe&qid=1654403840&sr=8-64,https://m.media-amazon.com/images/I/51uisxoy-kL._AC_UL960_FMwebp_QL65_.jpg
C17,"Caspian Furniture Walnut 2 Door Wardrobe with Mirror, 2 Shelves, Drawer and Hanging Space for Clothes |Wardrobe for Bedroom | Wardrobe for Clothes |Cupboard | Almirah | Wooden Wardrobe | Home Storage","8,800",5.0 out of 5 stars,1,https://www.amazon.in//Caspian-Furniture-Wardrobe-Shelves-Cupboard/dp/B091GTFQDH/ref=sr_1_65?keywords=wardrobe&qid=1654403840&sr=8-65,https://m.media-amazon.com/images/I/51mriT5-LXL._AC_UL960_FMwebp_QL65_.jpg
C18,Amazon Brand - Solimo Alpha Engineered Wood 4-Door Wardrobe (Espresso Finish),"20,099",3.7 out of 5 stars,503,https://www.amazon.in//Amazon-Brand-Engineered-Wardrobe-Espresso/dp/B07T88Q2W3/ref=sr_1_66?keywords=wardrobe&qid=1654403840&smid=AXOGFIT0PZZ7G&sr=8-66,https://m.media-amazon.com/images/I/71fNj+Qw5EL._AC_UL960_FMwebp_QL65_.jpg
C19,"Caspian Furniture Light Brown 3 Door Wardrobe with Drawers, Shelves and Hanging Space for Clothes | Wardrobe for Clothes | 3 Door Cupboard | Almirah |3 Door Engineered Wooden Cupboard | Home Storage","13,999",3.5 out of 5 stars,7,https://www.amazon.in//Caspian-Furniture-Wardrobe-Cupboard-Engineered/dp/B08Y8Z3VDD/ref=sr_1_67?keywords=wardrobe&qid=1654403840&sr=8-67,https://m.media-amazon.com/images/I/71EaPxcz+gL._AC_UL960_FMwebp_QL65_.jpg
C20,Hexagon Furnitures 2 Door Wardrobe (Colour-Wooden Texture) with Led Light Multi Colour Keychain of Hexagon Brand.,"8,800",3.8 out of 5 stars,7,https://www.amazon.in//Hexagon-Furnitures-Wardrobe-Colour-Wooden-Texture/dp/B083ZZTGWL/ref=sr_1_68?keywords=wardrobe&qid=1654403840&sr=8-68,https://m.media-amazon.com/images/I/71HRhVM48OL._AC_UL960_FMwebp_QL65_.jpg
C21,"Nilkamal Teana 3 Door Mirror Wardrobe, Classic Walnut, 47.24 * 22.24 * 71.85","23,826",N/A,N/A,https://www.amazon.in//gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg2_1?ie=UTF8&adId=A090574827IBUOGHSOMCN&url=%2FNilkamal-Mirror-Wardrobe-Classic-Walnut%2Fdp%2FB09292NMM9%2Fref%3Dsr_1_69_sspa%3Fkeywords%3Dwardrobe%26qid%3D1654403840%26sr%3D8-69-spons%26psc%3D1&qualifier=1654403840&id=442703997766940&widgetName=sp_mtf,https://m.media-amazon.com/images/I/91PcKo9DqFL._AC_UL960_FMwebp_QL65_.jpg
C22,Trinayan Handicrafts Solid Sheesham Wood Cupboard || Wardrobe in Premium Teak Finish (Design 3),"30,000",4.5 out of 5 stars,2,https://www.amazon.in//gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg2_1?ie=UTF8&adId=A0204808JOPCSM9TW2O2&url=%2FTrinayan-Handicrafts-Sheesham-Cupboard-Wardrobe%2Fdp%2FB09HVBBC74%2Fref%3Dsr_1_70_sspa%3Fkeywords%3Dwardrobe%26qid%3D1654403840%26sr%3D8-70-spons%26psc%3D1&qualifier=1654403840&id=442703997766940&widgetName=sp_mtf,https://m.media-amazon.com/images/I/61LvljLwBeL._AC_UL960_FMwebp_QL65_.jpg
C23,"Amazon Brand - Solimo Medusa Engineered Wood Wardrobe With Drawer And Mirror wenge finish , 2 Doors","9,799",3.5 out of 5 stars,123,https://www.amazon.in//gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg2_1?ie=UTF8&adId=A06450883PA3FRGAJGDJY&url=%2FAmazon-Brand-Solimo-Engineered-Wardrobe%2Fdp%2FB08698T6BV%2Fref%3Dsr_1_71_sspa%3Fkeywords%3Dwardrobe%26qid%3D1654403840%26smid%3DAXOGFIT0PZZ7G%26sr%3D8-71-spons%26psc%3D1&qualifier=1654403840&id=442703997766940&widgetName=sp_mtf,https://m.media-amazon.com/images/I/81otQ8hIbHL._AC_UL960_FMwebp_QL65_.jpg
C24,"Amazon Brand - Solimo Medusa Engineered Wood Wardrobe with Drawer and Mirror walnut finish ,2 Doors","9,659",3.1 out of 5 stars,40,https://www.amazon.in//gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg2_1?ie=UTF8&adId=A06462243J64LYRO3WI1Z&url=%2FAmazon-Brand-Solimo-Engineered-Wardrobe%2Fdp%2FB0869BTBS2%2Fref%3Dsr_1_72_sspa%3Fkeywords%3Dwardrobe%26qid%3D1654403840%26smid%3DAXOGFIT0PZZ7G%26sr%3D8-72-spons%26psc%3D1&qualifier=1654403840&id=442703997766940&widgetName=sp_mtf,https://m.media-amazon.com/images/I/816H02zLjqL._AC_UL960_FMwebp_QL65_.jpg
C25,Hexagon Furnitures Engineered Wood 4 Door Wardrobe Without Mirror (White Brown) and with LED Light Multi Colour Keychain of Hexagon Brand.(D),"18,999",4.1 out of 5 stars,6,https://www.amazon.in//Hexagon-Furnitures-Engineered-Wardrobe-Keychain/dp/B091J4GPP8/ref=sr_1_73?keywords=wardrobe&qid=1654403840&sr=8-73,https://m.media-amazon.com/images/I/315oWJozMxS._AC_UL960_FMwebp_QL65_.jpg
C26,Hexagon Furnitures Single Door Wardrobe with 1 Drawer and 4 Shelves (Brown) and with LED Light Multi Colour Keychain of Hexagon Brand.,"7,000",,N/A,https://www.amazon.in//Hexagon-Furnitures-Door-Wardrobe-Keychain/dp/B09SP8QSNP/ref=sr_1_74?keywords=wardrobe&qid=1654403840&sr=8-74,https://m.media-amazon.com/images/I/61fa-AzaiwL._AC_UL960_FMwebp_QL65_.jpg
C27,HomeTown Prime Engineered Wood Two Door Wardrobe in White Colour,"9,999",N/A,N/A,https://www.amazon.in//HomeTown-Prime-Engineered-Wardrobe-Colour/dp/B09XF1455F/ref=sr_1_75?keywords=wardrobe&qid=1654403840&sr=8-75,https://m.media-amazon.com/images/I/71FcE3JJy5L._AC_UL960_FMwebp_QL65_.jpg
C28,Caspian Furniture Walnut 2 Door Wardrobe with Mirror 2 Shelves and Hanging Space for Clothes |2 Door Wardrobe for Bedroom | Wardrobe for Clothes | Cupboard | Almirah | Engineered Wooden Wardrobe,"8,500",3.4 out of 5 stars,7,https://www.amazon.in//Caspian-Furniture-Wardrobe-Cupboard-Engineered/dp/B08XYZHHZR/ref=sr_1_76?keywords=wardrobe&qid=1654403840&sr=8-76,https://m.media-amazon.com/images/I/61-JpowHPtL._AC_UL960_FMwebp_QL65_.jpg
C29,Caspian Furniture Wooden Furnish Delux 2 Door Wardrobe with Mirror,"9,000",4.7 out of 5 stars,4,https://www.amazon.in//Caspian-Furniture-Wooden-Furnish-Wardrobe/dp/B079TBS341/ref=sr_1_77?keywords=wardrobe&qid=1654403840&sr=8-77,https://m.media-amazon.com/images/I/31A1BtemwTL._AC_UL960_FMwebp_QL65_.jpg
C30,"CASPIAN Engineered Wood Multipurpose 2 Door Wardrobe with Mirror | Wardrobe with 3 Drawers and Lock, 4 Shelves and Hanging Space for Clothes (Coffee Brown)","9,000",,Only 2 left in stock.,https://www.amazon.in//CASPIAN-Engineered-Multipurpose-Wardrobe-Drawers/dp/B09MQTT8XR/ref=sr_1_78?keywords=wardrobe&qid=1654403840&sr=8-78,https://m.media-amazon.com/images/I/517AFSOjwYL._AC_UL960_FMwebp_QL65_.jpg
C31,Trevi Regal Deluxe 3 Door Wardrobe Without Mirror Without Drawer,"14,000",4.0 out of 5 stars,1,https://www.amazon.in//Trevi-Deluxe-Wardrobe-Without-Mirror/dp/B08CV7WVP8/ref=sr_1_79?keywords=wardrobe&qid=1654403840&sr=8-79,https://m.media-amazon.com/images/I/71EGmF0jbcL._AC_UL960_FMwebp_QL65_.jpg
C32,HRM 2 Door 6 Shelf PP Collapsible Wardrobe (Finish Color Maroon),"1,749",N/A,Only 1 left in stock.,https://www.amazon.in//HRM-Collapsible-Wardrobe-Finish-Maroon/dp/B092VYBZPX/ref=sr_1_80?keywords=wardrobe&qid=1654403840&sr=8-80,https://m.media-amazon.com/images/I/81md+mhNSuS._AC_UL960_FMwebp_QL65_.jpg
C33,"ABBAJI INTERIORS Engineered Wood Two-Door Wardrobe with Mirror and 2 Drawers,4 Shelves (White Texture)- Length 30 inch","11,900",N/A,N/A,https://www.amazon.in//ABBAJI-INTERIORS-Engineered-Two-Door-Wardrobe/dp/B09PTDR54Z/ref=sr_1_81?keywords=wardrobe&qid=1654403840&sr=8-81,https://m.media-amazon.com/images/I/31vfhNi+ODL._AC_UL960_FMwebp_QL65_.jpg
C34,"Amazon Brand - Solimo Medusa Engineered Wood Wardrobe With Mirror Walnut , 2 Doors","9,999",3.4 out of 5 stars,17,https://www.amazon.in//Amazon-Brand-Solimo-Engineered-Wardrobe/dp/B08BGM3TWT/ref=sr_1_82?keywords=wardrobe&qid=1654403840&smid=AXOGFIT0PZZ7G&sr=8-82,https://m.media-amazon.com/images/I/81DwmK9YouL._AC_UL960_FMwebp_QL65_.jpg
