Index,Description,Price,Rating,Review Count,Product URL,Image URL
L1,Modren Wire Cage Table Lamp with Fabric Shade- Black,849,,N/A,https://www.amazon.in//gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_next_aps_sr_pg2_1?ie=UTF8&adId=A04948311ZHT62XLWFZYY&url=%2FModren-Table-Fabric-Shade-Black%2Fdp%2FB09SWC5MZK%2Fref%3Dsr_1_49_sspa%3Fkeywords%3Dlamps%26qid%3D1654403699%26sr%3D8-49-spons%26psc%3D1&qualifier=1654403699&id=5428843849007551&widgetName=sp_atf_next,https://m.media-amazon.com/images/I/61hCicICAmL._AC_UL960_FMwebp_QL65_.jpg
L2,M.N LITE Decorative Wooden 1 Head Modern Simple Square Shape Wood Pendant Lights Lamp for Study Coffee Shop,590,5.0 out of 5 stars,1,https://www.amazon.in//gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_next_aps_sr_pg2_1?ie=UTF8&adId=A07330872U7MWEAWYLEKE&url=%2FDecorative-Head-Square-Shape-Pendant%2Fdp%2FB09PF67XSF%2Fref%3Dsr_1_50_sspa%3Fkeywords%3Dlamps%26qid%3D1654403699%26sr%3D8-50-spons%26psc%3D1&qualifier=1654403699&id=5428843849007551&widgetName=sp_atf_next,https://m.media-amazon.com/images/I/31ppfa5Oj1L._AC_UL960_FMwebp_QL65_.jpg
L3,"PHILIPS Plastic LED Desk light, White",859,4.4 out of 5 stars,"4,306",https://www.amazon.in//gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_next_aps_sr_pg2_1?ie=UTF8&adId=A03800654HDQQLW0SQI2&url=%2FPhilips-61013-Breeze-5-Watt-light%2Fdp%2FB016VYB624%2Fref%3Dsr_1_51_sspa%3Fkeywords%3Dlamps%26qid%3D1654403699%26sr%3D8-51-spons%26psc%3D1&qualifier=1654403699&id=5428843849007551&widgetName=sp_atf_next,https://m.media-amazon.com/images/I/61vG1VEvvmL._AC_UL960_FMwebp_QL65_.jpg
L4,PRIMESKY® Study Table lamp Rechargeable Led Touch On Off Switch Student Study Reading Dimmer Led Table Lamps,365,4.5 out of 5 stars,47,https://www.amazon.in//gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_next_aps_sr_pg2_1?ie=UTF8&adId=A09894992BACYXBBRJ6TF&url=%2FPRIMESKY%25C2%25AE-Rechargeable-Switch-Student-Reading%2Fdp%2FB09XF198P7%2Fref%3Dsr_1_52_sspa%3Fkeywords%3Dlamps%26qid%3D1654403699%26sr%3D8-52-spons%26psc%3D1&qualifier=1654403699&id=5428843849007551&widgetName=sp_atf_next,https://m.media-amazon.com/images/I/612vqqkyz-L._AC_UL960_FMwebp_QL65_.jpg
L5,"GM 3031 0.5 Watt Xoom LED Night Lamp, Orange and White,Pack of 1",100,4.2 out of 5 stars,"6,544",https://www.amazon.in//GM-3031-0-5-Watt-Night-Orange/dp/B07JJWKFM7/ref=sr_1_53?keywords=lamps&qid=1654403699&sr=8-53,https://m.media-amazon.com/images/I/61cac5fUP6S._AC_UL960_FMwebp_QL65_.jpg
L6,"ARURA (LABEL) Wood, PVC Night Lamp, Multicolour, 1 Moonlight 1 Remote Control 1 USB Charging Cable 1 Wood Mount, Manual 1 Hanging String, Pack of 1",898,3.7 out of 5 stars,18,https://www.amazon.in//Brightness-Sensor-Changeable-Multicolour-Rechargeable/dp/B07VLSTYNF/ref=sr_1_54?keywords=lamps&qid=1654403699&sr=8-54,https://m.media-amazon.com/images/I/51P0+YgWmBL._AC_UL960_FMwebp_QL65_.jpg
L7,"One94store Bonsai Led Desk Tree Lamp, Desk Table Decor Pearl LED Lights for Home,Bedroom, Indoor,Wedding Party,Decoration Touch Switch Battery Powered or USB Adapter (Pearl Node Lamp)",949,3.3 out of 5 stars,910,https://www.amazon.in//One94store-Bedroom-Wedding-Decoration-Battery/dp/B09JMZ1KK8/ref=sr_1_55?keywords=lamps&qid=1654403699&sr=8-55,https://m.media-amazon.com/images/I/61dkJfm3ECL._AC_UL960_FMwebp_QL65_.jpg
L8,Ceejay Hands Free Head Flashlight LED Lmap Water Resistant Drop Resistant Head Lamp Spotlight forSEASPIRIT Camping Fishing Running Cycling Best Super Bright Rechargeable Headlamp Light Torch,743,4.1 out of 5 stars,3,https://www.amazon.in//Flashlight-Resistant-Spotlight-forSEASPIRIT-Rechargeable/dp/B08HL17191/ref=sr_1_56?keywords=lamps&qid=1654403699&sr=8-56,https://m.media-amazon.com/images/I/51gc3jiS0mL._AC_UL960_FMwebp_QL65_.jpg
L9,PRIMESKY® 3D Moon Night Lamp 7 Multi Colors Changing Touch Sensor with Wooden Stand Moon Light Table Lamp for Bedroom (15 cm),699,4.3 out of 5 stars,972,https://www.amazon.in//PRIMESKY%C2%AE-Colors-Changing-Sensor-Bedroom/dp/B091N6919B/ref=sr_1_57?keywords=lamps&qid=1654403699&sr=8-57,https://m.media-amazon.com/images/I/71RXvbYMSpS._AC_UL960_FMwebp_QL65_.jpg
L10,"KEYORA™ Sunset lamp Projector, 16 Colors Laser with LED Lights / Desk lamp, Rainbow Night Light 360 Degree Rotation Romantic Sunlight for Bedroom, Party, Photography, with Remote",799,3.7 out of 5 stars,73,https://www.amazon.in//KEYORATM-Projector-Rotation-Romantic-Photography/dp/B09ML1JMLV/ref=sr_1_58?keywords=lamps&qid=1654403699&sr=8-58,https://m.media-amazon.com/images/I/71ogewuaqtL._AC_UL960_FMwebp_QL65_.jpg
