,Beds,Cupboards,Dressing,Lamps,rating,review,odd
0,B1,C24,D32,L328,1,0,
1,B1,C198,D161,L307,1,0,
2,B1,C219,D42,L300,1,0,
3,B1,C83,D218,L84,1,0,
4,B1,C272,D86,L135,1,0,
5,B1,C90,D29,L21,1,0,
6,B1,C268,D101,L86,1,0,
7,B1,C10,D134,L289,1,0,
8,B1,C119,D172,L201,1,0,
9,B1,C186,D94,L32,1,0,
10,B2,C67,D221,L289,1,0,
11,B2,C139,D92,L263,1,0,
12,B2,C94,D206,L300,1,0,
13,B2,C239,D108,L313,1,0,
14,B2,C111,D160,L243,1,0,
15,B2,C44,D29,L308,1,0,
16,B2,C34,D115,L82,1,0,
17,B2,C83,D71,L203,1,0,
18,B2,C25,D138,L321,1,0,
19,B2,C65,D2,L195,1,0,
20,B3,C146,D27,L65,1,0,
21,B3,C54,D53,L298,1,0,
22,B3,C118,D58,L75,1,0,
23,B3,C89,D103,L201,1,0,
24,B3,C115,D175,L308,1,0,
25,B3,C247,D71,L243,1,0,
26,B3,C148,D184,L209,1,0,
27,B3,C58,D34,L32,1,0,
28,B3,C178,D115,L61,1,0,
29,B3,C6,D17,L195,1,0,
30,B4,C89,D26,L308,1,0,
31,B4,C115,D23,L82,1,0,
32,B4,C68,D5,L195,1,0,
33,B4,C6,D119,L61,1,0,
34,B4,C146,D145,L243,1,0,
35,B4,C228,D7,L298,1,0,
36,B4,C54,D103,L75,1,0,
37,B4,C118,D71,L201,1,0,
38,B4,C148,D128,L290,1,0,
39,B4,C7,D19,L302,1,0,
40,B5,C198,D161,L328,1,0,
41,B5,C24,D32,L307,1,0,
42,B5,C272,D42,L124,1,0,
43,B5,C219,D101,L135,1,0,
44,B5,C83,D9,L289,1,0,
45,B5,C186,D218,L300,1,0,
46,B5,C119,D132,L173,1,0,
47,B5,C268,D172,L120,1,0,
48,B5,C55,D63,L192,1,0,
49,B5,C90,D2,L313,1,0,
50,B6,C237,D25,L203,1,0,
51,B6,C56,D149,L289,1,0,
52,B6,C92,D130,L183,1,0,
53,B6,C60,D160,L243,1,0,
54,B6,C272,D142,L8,1,0,
55,B6,C150,D205,L329,1,0,
56,B6,C238,D42,L328,1,0,
57,B6,C111,D178,L140,1,0,
58,B6,C187,D162,L184,1,0,
59,B6,C94,D92,L116,1,0,
